ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
91.3,`used to,adj,"[D1|to have done something in the past] once (verb), formerly [D2|to be accustomed to doing] given to, hardened, at home in/with, wedded to, wont",,"[G1] It isn't as good as it used to be → It isn't as good as it was before
[G2] It doesn't work like it used to → It doesn't work like it did before → It doesn't work like it once did
[G3] I used to play football → I played football when I was younger → I once played football → I played football back in the day
[G4] He is used to behaving selfishly → He is given to behaving selfishly → He is given to selfishness
[S] at one point",
91.4,`make use of,vb,"draw on/upon, play on/upon, play to, make the most of, make hay (out) of, bring into play, put to work, lean on",harness,"[S] use, take advantage of",
105,`very,adv,"pretty, truly, highly, thoroughly, awfully, so, such, well, most, such a(n), a lot (of), keenly, wildly, to no end, stunningly, beyond belief",,"[G1] Thank you very much → Thank you so much
[G2] He was very aware of his weaknesses → He was well/keenly aware of his weaknesses
[G3] He was very upset about it → He was well upset about it
[G4] His words were very hopeful → His words were most hopeful 
[G5] His guess was very off the mark → His guess was wildly off the mark
[G6] Not very well → Not that well → Not so well
[G7] That was very fun → That was a lot of fun → Now that was fun → I can't (begin to) tell you how funny that was
[S] extremely",
114,`really,adv,"[D1|to a high degree] [D2|in reality] truly, in truth, truthfully, indeed",,"[G1] I really wanted to see it → I so wanted to see it
[S|D1] very
[S] really, surprisingly",
114,`really,interj,"no kidding, is that so/right, you don't say, no way, say it ain't so, do tell",,,
121,"`try, `attempt",vb,"go for, set out, see if/whether smn can + verb, work on, give sth a shot/go, have a go at, do one's best/utmost (to), have/make a stab at, put oneself out, take a whack at, seek, strive, bother, bid, undertake, do something about, shoot one's shot","try, try out","[G1] Try to sell him this book → See if/whether you can sell him this book
[G2] He tried to keep me here → He sought to keep me here
[G3] He tried everything to keep me here → He did everything keep me here
[G4] He tried his best to keep me here → He did his best keep me here
[G5] He's trying to make a comeback → He's looking to make a comeback → He's out to make a comeback → He wants to make a comeback
[G6] He's trying to reach a broader audience → He's going for a broader audience
[G7] I'm trying to get better → I'm working on getting better
[G8] I'm trying to → I'm working on/toward it
[S] strive, want",
156,"`big, `large",adj,"big, great, broad, heavy, strong, thick, stocky, heavyset, broad-shouldered",,,GERMANIC
171,`family,n,household,,,
183,`part,n,"bit, share, cut, deal, some (of), side",,"[G1] We will do our part to help → We will do our bit/share to help
[G2] The worst part is that he can't tell her why → The worst of it is that he can't tell her why
[G3] There's more, but that's the best part → There's more, but that's the best of it
[G4] It was good for the most part → It was good overall → It was good on the whole → It was mostly good
[G5] I liked that part of it → I liked that side of it
[S] portion",
186,`place,n,"stead, spot, somewhere",,"[G1] It's not my place to tell you ... → I'm not one to tell you ... → It's not for me/up to me to tell you ... → Far be it from me to tell you ...
[G2] Let's meet at my place → Let's meet at my house
[G3] We are in a dangerous place → We are in a dangerous spot
[S] take place, in the first place, in place of, situation",
186.1,`in place,prep,ready,,,
186.2,`in place of,prep,"instead of, in sth's/smn's stead",,,
186.3,`in the first place,prep phr,"to begin/start with, at the start, earlier",,,
186.4,`take place,vb,"happen, come about, go on, go down, fall upon",,[S] occur,
187,`problem,n,"hurdle, setback, snag, hitch, worry, hard-going, headwinds, deal, hold-up, hindering, thing",,"[G1] I have no problem with that → I have nothing against that → I have no hitch with that
[G2] That's his problem → That's on him → That's for him to work out
[G3] What's the problem with me going out? → What's the big deal with me going out?
[G4] The problem with lemons is that they are sour → The thing about lemons is that they are sour
[G5] He bought something, but the problem is that I don't know what it is → He bought something, only I don't know what it is
[G6] I think we have a problem → I think we've hit a snag
[G7] No problem → It's all right → Don't worry about it → Don't even think about it → Think nothing of it → Forget (about) it → It's all good → No worries → It's nothing
[G8] The problems of our times → The ills of our times → The woes of our times
[S|G2] responsibility",
190,`country,n,"land, homeland, fatherland, motherland, home",,,
193,`point,n,"[D1|a particular and often important moment in time] beat, crack, flash, heartbeat, jiffy, shake, tick, trice, twinkle, wink, bit, spell, stretch, while, brink, nick, threshold, crunch time, wire [D2|the last and usually sharp or tapering part of something long and narrow] end, nib, nose, pike, tip",,"[N1] Many phrases with the word point in them (have a point, make a point, finish the point, etc.) are romance calques.
[G1] Let me finish the point → Let me finish the thought → Let me finish (what I want to say)
[G2] I want to make three points → I want to say three things
[G3] I have a three point plan → I have a three step plan
[G4] What's the point? → What for? → Why?
[S] point out, point to, have a point",
193.1,`point out,vb,"highlight, underline, say",,"[G1] I should point out that our offer is limited → I should say (here) that our offer is limited
[S] mention, emphasize, identify",
193.2,`point to,phr,"show, hint at, tell of, give/lend weight to",,"[G1] Everything points toward a bright future for their company → Everything is hinting at a bright future for their company
[S] prove, suggest, indicate, evidence",
193.3,`at one point,prep,,,"[G1] At one point or another
[G2] I worked in a field at one point
[G3] At one point, he tried to leave → He tried to leave one time
[S|G1] eventually
[S|G2] used to",
193.4,`at some point,prep,,,[S] eventually,
193.5,`at that point,prep,"then, by that time",,"[N1] Sometimes has no real meaning and can be omitted.
[N2|G1] ""At that time"" can also be used to refer to the recent past.
[G1] At that point, he said ... → Then, he said ... → That was when he said ... → At that time, he said ...
[G2] I couldn't stand him at that point → I couldn't stand him by that time
[S] currently",
193.6,`at this point,prep,,,"[N1] Sometimes has no real meaning and can be omitted.
[G1] At this point, I should say ... → Now, I should say ... → Here, I should say ...
[S] currently",
193.7,`have a point,vb,"be right, be onto sth",,,
197,`turn,vb,,,"[G1] It turns out they had no clue → They had no clue after all → However, they had no clue → It looks like/seems/would seem that they had no clue
[G2] But, as it turns out, things were much worse → But things ended up being much worse → But, it looks like things were much worse
[G3] He knew how this was going to turn out → He knew how this was going to end → He knew how this was going to go
[S] result",
199,`group,n,"set, brood, cluster, team",,[G1] We might have a whistleblower in our group → We might have a whistleblower in our midst/among us,
205,`case,n,"1) befalling, happening, 2) business on hand, plight, setting, suchness, 3) (in law) gainsaying to answer, talking through, thrashing out, weighing the fors and againsts, 4) plight of a sick man/woman, 5) box, chest, holdall, holder, sheath",,"[G1] In this case, that is not true → Here, that is not true
[G2] In that case → There → Then
[G3] This is clearly not the case → This is clearly not true → This is clearly not so → This is clearly not what's happening/going on
[G4] That being the case, ... → That being so, ... → Given this, ...  → If that's true, ...
[S] example",
205,`in case,conj,,,"[G1] Let me know in case you can't make it → Let me know if you can't make it → Let me know if it so happens that you can't make it
[S] in the event of",
205,`in case of,prep,,,[S] in the event of,
205,`in most cases,prep,,,"[S] predominantly, largely, case",
205,`in some cases,phr,sometimes,,[S] occasionally,
205,`in the case of,prep,"[D1|in the event of] [D2|when it comes to] when it comes to, as far as sth goes, so far as sth goes, as for, in the way of, about, having to do with, in that, -wise",,"[G1] We weren't as lucky in the case of Enron → We weren't as lucky with Enron → We weren't as lucky when it came to Enron
[S] regarding
[S|D1] in the event of",
205,`worst case scenario,phr,"if worse/worst comes to worst, if it comes to that",,,
206,`question,n,,,"[G1] What is your question? → What are you asking?
[G2] I'll stick around to answer your question → I'll stick around to answer you/what you asked
[G3] Did you ask me a question? → Did you ask me something?
[G4] I wanted to ask you a question → I wanted to ask you something
[G5] I have a few questions for you → I want to know a few things → I want you to answer/tell me a few things
[G6] Their question was about the economy → They wanted to know about the economy",
215,`money,n,"wealth, buck(s), wherewithal, means, dough",,[S] cash,
224,`story,n,"tale, plot, yarn",,,
227,`move,vb,go somewhere,,[G1] Don't move! → Don't go anywhere!,
227,`move on,vb,"get on (with sth), get over (sth)",,,
231,`during,prep,"throughout, through, while, in the middle of, in the midst of, amid, amidst",,[G1] It happened during his rule → It happened under his rule,
236,`different,adj,"unlike, not the same, another, unalike, nothing like each other/one another, clashing",what sets smn apart (from smn),"[N1] Instead of saying that something is different, say how it is different. 
[G1] I took a different path → I took another path
[G2] We have different definitions of what this means → We have clashing definitions of what this means
[G3] This is what makes her different → This is what makes her stand out → This is what makes her (so) unlike anyone else
[G4] Being first is different to being third → It's one thing to have to be first, and another to be third
[G5] That means different things to different people → That means something else to each person → That means one thing to some people and another to others
[G6] Understanding the different types of treatments → Understanding the types of treatments out there
[G7] There are different kinds of food → There are many kinds of food → There is more than one kind of food
[S] various, unique, contradictory, alternative
[S|G5] available",
242,`fact,n,truth,,"[G1] In fact, they should be rewarded → If anything, they should be rewarded
[G2] He didn't stop. In fact, he went faster. → He didn't stop, but went (even) faster → He didn't stop. Instead, he went faster → He didn't stop. He went faster, believe it or not.
[G3] The fact that it's still there is amazing → That it's still there is amazing
[G4] The fact is ... → The truth is ...
[G5] You should get your facts straight → You should do your homework
[G6] He knows for a fact that it's true → He knows full well that it's true
[S|G2] actually, surprisingly",
247,`for sure,adv,,,"[S] certainly, decidedly",
247,`make sure,vb,"see (that), see to it (that), go out of smn's way (to)","make sure, make sure of it","[G1] He makes sure to let you know → He is (always) careful to let you know → He (always) goes out of his way to let you know → He always lets you know
[G2] I'll make sure to let them know → I won't forget to let them know
[G3] Make sure to avoid that → Be careful to avoid that → Do everything/whatever it takes/all you can to avoid that → Always avoid that
[G4] I will make sure that you get the job → I will see (to it) that you get the job
[S] check",MORE EXAMPLES
247,`sure,adj,,,"[G1] I'm not sure if it's true → I don't know if it's true → It might be true
[G2] We're not sure that he did it → We don't know that he did it → He might have done it
[G3] I'm sure he did it → He did it, that much I know → He did it, that I can tell you → He did it, that much is true
[G4] I'm not sure, but ... → I might be wrong, but ...
[S] make sure, certain",
258,`pay,vb,,,"[G1] I'll pay you back → I'm good for it
[G2] They will have to pay for this → They are going to have to bear the brunt of this
[S] cost",
258,`pay attention,vb,"heed, take heed (of), give heed (to), listen, keep an eye on","take note, turn one's eyes to","[S] attention, spy","MERGE WITH CONCENTRATE, CONSIDER?"
259,`study,vb,"read, learn, cram, pore, pore over, go over, go through, grind, bone up, understand, grasp, know",,,
263,`idea,n,"thought, inkling, clue",,"[G1] I have no idea what happened → I have no clue what happened → I have no(t an) inkling of what happened
[G2] The idea that she's going to lose again made her sick → The thought that she's going to lose again made her sick
[G3] John was my idea of a great man → John is what I call a great man → John is what I think of as a great man
[G4] I've got an idea! → I thought of something! → Here's something!",
269,`actually,adv,,,"[G1] Actually, he's pretty good → In all fairness, he's pretty good → He's much better than you think
[S] really, surprisingly",
272,`provide,vb,give,,"[G1] I'll let him play, provided that he's good
[S|G1] assume",
274,`power,n,"strength, might, toughness",,"[G1] You have no power over who comes and leaves → You have no say over who comes and leaves
[S] control, authority",
280,`real,adj,"true, be a thing, true to life, dead-on, down to earth, grounded, well-grounded, no other, of flesh and blood, right, so, straight",,"[S] real life, in real life, real time, in real time",
280.1,"`real life, `real-life",adj,"true, true to life",,,
280.2,"`real time, `real-time",adj,,,[S] in real time,
280.3,`in real life,phr,,,[S] in person,
280.4,`in real time,phr,"now, right then and there, live",,"[G1] We're learning about it in real time → We're learning about it as we speak → We're learning more about it as time goes on → We're learning about it as it's happening → We're learning more and more about it → We're learning more about it all the time
[G2] They saw it in real time → They saw it as/while it happened
[S] real time, currently",
289,`wait,vb,"hold on, hold it, hang on, hold up, hold out, hold off, stand by, sit tight, mark time, hold tight","wait (weight), stay put","[G1] I wanted to wait until the game came out → I wanted to hold off until the game came out
[S] patient",
290,"`OK, `O.K., `okay",adj,"all right, alright",,,
290,"`OK, `O.K., `okay",interj,"all right, alright, good, yes",,,
297,`important,adj,"big, key, weighty, heavy, worthy, noteworthy, worthwhile, big deal, have weight",of note,"[G1] My opinion is not as important → My opinion does not have the same weight
[S] matter, unimportant",
298,`person,n,"one, man, woman",,,
307,`around,prep,"[D1|close to] about, by, near, next to, alongside, beside, along, at [D2|in random positions within the boundaries of] about, over, through, throughout, on               1) about, on all sides, on every side of, 2) about, in the neighbourhood of, nearby, not far off",,,PUT TOGETHER
307,`around,adv,"[D1|on all sides or in every direction] about, all over, everywhere, abroad, afloat, hereabout, hereabouts [D2|toward the opposite direction] about, back, backward, backwards, behind, down, downward, athwart                                                                      everywhere, here and there, to and fro",,,PUT TOGETHER
319,`create,vb,"make, bring about, bring forth, put together, come up with, give rise to",,,
320,`information,n,"tips, hints, leads, clues, feedback",,,
321,`car,n,four-wheeler,,,
327,`party,n,"[D1|celebration] bash, gathering, get-together, cookout, blowout [D2|political party] camp, side",,,
334,`remember,vb,"[D1|to bring back to mind] bring to mind, call to mind, think back to/on, hark back (to), harken back (to), think (of), look back on, flash back (to), go down as [D2|to keep in mind for attention or consideration] keep in mind, bear in mind, mind you, be mindful of",recall,"[G1] Today will be remembered as one of our best days → Today will go down as one of our best days
[G2] I took a moment to remember John and the times we shared → I took a moment to think of John and the times we shared
[G3] One can't help but remember his last days as our king → One can't help but think back to his days as our king
[G4] I still remember its angry growl → His angry growl is still with me",
334,`remember,interj,,,"[G1] Remember, the game has not started yet → Mind you, the game has not started yet",
336,`reason,n,"grounds for/to, call, (no) business, (no) need",,"[G1] You have no reason to do this → You have/There's no call to do this → You have no grounds to do this 
[G2] We have good reason to believe he lied → We have good grounds to believe he lied
[G3] There's no reason why you shouldn't make it → I don't see why you wouldn't make it
[G4] You have no reason to be here → You have no business being here
[G5] I had no reason to believe he was a thief → I had no need to believe he was a thief
[G6] The only reason they did it was to save the company → They only did it to save the company
[G7] They call him smart for a reason → They don't call him smart for no reason → They don't call him smart for nothing
[S] justification, because",
336.1,`for * reason,phr,,,"[G1] For what reason? → Why? → To what end? → On what grounds? → What for?
[G2] For that reason, we stopped it → To that/this end, he stepped down → That's why he stepped down
[G3] For some reason, ... → Oddy enough, ... → Weirdly enough, ... → I don't know why, but ...
[G4] She did it for selfish reasons → She did it on selfish grounds
[G5] ..., and for good reason → ..., and rightly so
[G6] Everything happens for a reason → Nothing happens by mistake
[S|G3] surprisingly",
342,`community,n,"1) body, folk, townsfolk, 2) neighborhood, ward, 3) brotherhood, crowd, set",,,
346,`allow,vb,"[D1|to give permission for or to approve of] to be willing, give one's blessing, let, not stand in the way, say yes to [D2|to accept something, usually reluctantly] to acknowledge, bow to, go along with, own [D3|to fail to prevent something, especially from neglect]",,"[G1] She's allowed to do whatever she wants → She's free to do whatever she wants → She can do whatever she wants
[G2] This has allowed for a better understanding of ... → This has given us a better understanding of ... → Thanks to this, we now have a better understanding of ...
[S|D3] tolerate
[S|G2] because of",
350,`continue,vb,"go on (with), keep going, keep sth up, hold, stretch on",,"[G1] This problem is likely to continue for days → This problem is likely to stretch on for days
[G2] Chickens continue to live for days after losing their head → Chickens go on living for days after losing their head
[G3] If this continues, this will be the worst loss of all time → If this holds, this will be the worst loss of all time
[S] maintain, progress",
355,`able,adj,"[D1|capable of doing something] can, ready, fit, fit for, cut out for, be in one's hands to, have it in one, see one's way to [D2|capable of doing something well]",,"[G1] I wasn't able to reach your friend → I couldn't reach your friend
[G2] Would you be able to help me? → Could you (find it in yourself to) help me?
[G3] I won't be able to come tomorrow → I cannot come tomorrow → I won't be comming tomorrow
[S|D2] talented",
361,`stay,vb,linger,"stay, stick around",[G1] Stay out of it → Keep out of it,
361,`stay tuned,vb,"more to come, stand by, more to follow, keep watching/listening, watch for it",,,
362,`add,vb,"1) reckon up, rime, take stock, tell, work out, 2) fill out, heap on, lay up, put on, put together, stick on, strengthen, swell, 3) speak/write further                            put on, put in, fill out, heap on, lay up, put together, throw in, stick on, strengthen, swell",,[G1] That adds up to five dogs → That works out to five dogs,"PUT TOGETHER. LOOK AT EVANS AGAIN FOR DEFS 2, 3"
364,`change,n,"shift, tweak, switch, break, shake-up, swing, undoing, upset",,[G1] I thought I'd try tea for a change → I thought I'd try tea for once,
364,`change,vb,"shift, tweak, switch, make into, bring in new blood, make right, make unlike, shape anew, undo, shake up, shape anew, tear/throw down",,"[N1] Instead of saying that something changed, say how it changed.
[G1] It'll take a lot to change their decision → It'll take a lot to swing their decision
[G2] There are some things I cannot change → There are some things I can't do anything about → Some things can't be helped
[G3] You lost fair and square, and nothing can change that → You lost fair and square, and nothing can make it otherwise
[G4] He changed our country for the better → He helped our country
[S] change one's mind",
364.1,`change one's mind,vb,"see it one's way, see the light","come (a)round, bring round","[G1] I knew you'd change your mind → I knew you'd see it my way
[S] convince",
366,`probably,adv,"most likely, most often, likely, in all likelihood, (the) odds are",,"[G1] He probably won't own up to it any time soon → He most likely won't own up to it any time soon → In all likelihood he won't own up to it any time soon → (The) odds are he won't own up to it any time soon
[S] generally, usually",
367,`center,n,"[D1|a thing or place that is of greatest importance to an activity or interest] eye, heart, hub, navel, seat, hive, hotbed, hot spot, nub, pith [D2|an area or point that is an equal distance from all points along an edge or outer surface] middle, midst, inside                       1) heart, inside, kernel, middle, midway, 2) backbone, heartland, marrow, pith, soul",,,PUT TOGETHER
369,`face-to-face,adv,"[D1|in direct confrontation or competition] head-to-head, head-on, toe-to-toe, one-on-one",,,
370,`public,adj,"out there, out in the open, open",,"[G1] Some of the documents are already public → Some of the documents are already out there
[S] available",
374,`history,n,,,[G1] He has a questionable history → He has a questionable background,
376,`result,n,"outcome, upshot, outgrowth, aftermath, what comes (out) of, what happened",byproduct,"[G1] Are accents the result of foreign language contact? → Do accents come from foreign language contact? → Do Accents stem from foreign language contact?
[G2] The result was a great movie → It made for a great movie
[G3] I'm waiting to see what the results of the election are going to be → I'm waiting to see how this election is going to shake out/turn out
[S] as a result, as a result of, turn out",
376.1,`as a result,conj,"therefore, thus, in so doing, in doing so",,"[G1] He kept putting it off, and as a result, he missed the deadline → He kept putting it off, and in so doing, missed the deadline
[S] result",
376.2,`as a result of,prep phr,,,"[G1] The whole thing was put on hold as a result of the flood → The whole thing was put on hold in the wake of the flood
[G2] John swam up, and as a result of reaching up, took a hold of her arm → John swam up, and in reaching up, took a hold of her arm
[S] because of, result",
379,`parent,n,folks,,[G1] My parents don't want me to be with her → My folks don't want me to be with her,
381,`course,n,,,[G1] Over the course of five days → In five days,
381.1,`course of action,n,"path, way",tack,[S] direction,KEEP?
393,`moment,n,time,,"[G1] Wait until the right moment comes → Wait until the right time comes
[G2] Everybody left the moment he stepped into the building → Everybody left (right) when he stepped into the building → Everybody left as he stepped into the building",
394,`including,prep,"such as, among which, one of them being, among them being, (noun) being one of them",,"[G1] Many of his reforms proved popular, including the New Deal → Many of his reforms proved popular, one of them being the New Deal → Many of his reforms proved popular, (with) the New Deal being one of them",
395,`consider,vb,"[D1|to think of in a particular way] deem, think of, call, find, hold, take for, look (on or upon), reckon, set down, peg smn for sth [D2|to give serious and careful thought to] think about, give thought to, think over, think through, take stock (of sth), keep sth in mind, keep/have sth in the back of smn's mind/head, take on board, chew on, chew over, eye, mull (over), pore (over), think sth over, weigh, wrestle (with)",kick around,"[G1] He is considering a comeback in the Fall → He is eyeing a comeback in the Fall
[G2] I consider her to be dull → I find her dull
[G3] Considering his success, ... → Given his success, ...
[S|G3] assume",
412,`please,adv,"if you don't/wouldn't mind, if you will/would, kindly, if you have the goodness to, if you would be so good, if you would be so kind as to, if you would be so kind",,"[G1] Please let me do this → I'd like you to let me do this → Could you let me do this? → Won't you let me do this?
[G2] Please bear with us while ... → We ask that you bear with us while ...",
421,`experience,vb,"[D1|to live something] to come up against, feel, have, know, live through, meet with, run into, undergo, see, see for oneself, live [D2|to put up with something difficult]",,"[N1] Broad word, often filler. Instead of saying that you experienced something, say whether the experience was good or bad.
[G1] They experienced an hour-long outage → They went through/had/weathered an hour-long outage
[G2] I never got to experience how other cultures differ from mine → I never got to see (for myself) how other cultures differ from mine
[G3] Women are more likely to experience depression → Women are more likely to go through depression → Women are more likely to be/become depressed
[G4] Market likely to experience growth by next month → Market likely to see growth by next month → Market likely to grow by next month
[S|D2,G1] tolerate, interesting",
422,`plan,n,plot,,,
423,`easy,adj,child's play,,"[G1] It's very/pretty easy → There's not much/nothing to it
[S] simple",
426,`expect,vb,"see sth coming, be ready for, look for, hope for, watch for, be a given, be beforehand, forestall, look ahead, foresee, foretell",,"[G1] They didn't expect that he would say that → They didn't think he would say that
[G2] He's not the kind of guy you'd expect would do things like that → He's not the kind of guy you'd think would do things like that
[G3] The result was not what they expected → The result was not what they thought it was going to be",
429,`age,n,"1) length of life or being, lifetime, oldness, 2) time, a long time, stream of time",,[G1] The world came to know an age of darkness → The world came to know a time of darkness,FIX. LONG WINDED CONSTRUCTIONS
431,`sense,vb,feel,,"[G1] He sensed my presence → He felt my presence
[S] common sense, in the sense, make sense, make sense of",
431.1,`in the sense,prep phr,in that,,[G1] She differed from other women in the sense that ... → She differed from other women in that ...,
431.1,`make sense,vb,"seem right, ring true, hold up, hold good, hold water","sound right, add up",,
431.2,`make sense of,vb,,,"[G1] I couldn't make sense of what happened → I couldn't understand what happened
[S] understand, solve, discern",
432,`across,prep,"beyond, on the other side of, over, (dated) athwart",,,
432,`across,adv,"from side to side, on the other side",,,
437,`appear,vb,"[D1|to come into view] come out, show, show up, crop up, unfold [D2|to give the impression of being] come off (as), feel, look, make, seem, look to be, look as if, look like, look so, have/wear the look of [D3|to come into being] arise, begin, break, dawn, set in, spring, start                                           2) to come to light, arise, become known, be seen, come forth/forward, come into sight, come out, stand out/forth","come across (as), turn up","[G1] He appears to be ... → He seems/looks to be ...
[G2] New ones will start to appear → New ones will start to pop/crop up
[S] interpret, pretend",PUT TOGETHER
447,`art,n,"1) craftwork, weave-work, 2) craft, craftsmanship, deftness",,,
448,`possible,adj,"likely, within reach, at hand",,"[G1] It's (very) possible that ... → It could/may (well) be that ...
[G2] Is it possible that ...? → Could it be that ...?
[G3] Scientists found possible life on Mars → Scientists may have found life on Mars
[G4] They tried every possible trick to ... → They tried every trick there is/out there/you can think of/in the book/under the sun to ...
[G5] A deal is still possible → A deal is still within reach
[G6] It's possible → I could see that
[S] imaginable, potential, as (adj) as possible",
448.1,"`as * as possible, `as possible",phr,"as (adj) as can be, as (adj) as one can",,"[G1] He wants to become as wise as possible → He wants to become as wise as can be → He wants to become wise as I can (be)
[G2] He is as tough as they come",
455,`air,n,"1) sky, 2) breath, draught, wind, 3) bearing, look",,,
457,`require,vb,"need, be in need of, have need of, call for, need to have, have to have, need beforehand, need ahead of",,,
461,`agree,vb,"[D1|to have or come to the same opinion] be together on sth, be with smn (on sth), be on smn's side, side with, take the side of, feel the same way (about sth), think the same, share, be on the same boat, be down with, be on board, believe the same thing, be of one mind, see sth the same way, fall in with, go along with, see eye to eye, team with, line up, think sth/smn is right, be as one, be at one, settle, settle with, strike hands, make a deal [D2|to be in agreement on every point] answer, belong together, match, meet, fit, be in line with, be in keeping with, be in lockstep with [D3|to form a pleasing relationship] be good for, go with, fit",,"[G1] I agree with you here → I'm with you here
[G2] I think you and I agree on this → I think you and I are together on this
[G3] We all agree with you → We're all on your side
[G4] Nobody seemed to agree with him → Nobody seemed to share his beliefs
[G5] We both agree it should happen → We both think it should happen",
462,`according to,prep,,,[S] base,
468,`decide,vb,"choose, pick (out), settle on, make up one's mind",,"[G1] He decided to buy it → He ended up bying it → He bought it in the end
[S] select",
472,`pass,vb,"go by, tick by",,,
473,`interest,n,"liking, thing",,[G1] He lied for his own interest → He lied for his own gain,
478,`control,n,"sway, hold (on sth), grip, clutch, chokehold, say, takeover, clout, upper hand, might, pull, weight",,"[G1] You have no control over what ... → You have no say over what ...
[S] power, authority",
481,`suggest,vb,,,"[S] propose, point to, indicate",
485,`action,n,"deed, doing, steps, work, working",,,
488,`decision,n,call,,"[G1] You made the right decision → You made the right call 
[S] choice",
489,`receive,vb,"get, be given",,,
490,`value,vb,hold dear,,,
491,`base,vb,"go by, go off, go on, work on, build (on/from), rest on/upon, ground (on/in), rest on, root in, set",,"[G1] Based on what we know, ... → Going by what we know, ... → From what we know, ...
[G2] Our approach is based on reality → Our approach is grounded in reality
[G3] Our family is based on these values → Our family is rooted in these values
[G4] It says something else based on the country → It says something else in each country
[S|G4] depend, judge",
500,`explain,vb,"tell, spell out, set out, put (sth) into words, unriddle, get sth straight, outline","make clear, clear up, get across","[G1] Let me explain it to you this way → Let me put it to you this way
[G2] Explain the rules → Go over the rules
[G3] That explains it → That's why
[S] describe",
506,`perhaps,adv,"maybe, if need be",,[G1] This is perhaps his best poem yet → This may be his best poem yet → This is maybe his best poem yet,
