Aldelm,Aldelm,♂,Quickened,Ealdhelm,eald,helm,"Borne by the hallow, and in the 1818 tale written of him by Ripley. Not tied to the Hebrew name ‘Adam’."
Aldils,Aldils,♂,Quickened,Ealdġīsel,eald,ġīsel,
Aldith,Aldiþ,♀,Quickened,Ealdgȳþ,eald,gȳþ,
Aldive,Aldife,♀,Quickened,Ealdġifu,eald,ġifu,
Aldolph,Aldulf,♂,Quickened,Ealdƿulf,eald,ƿulf,"Can also be spelled: Aldulph (Anglish Spelling: Aldulf). Borne by one of the forebears of the Wuffings, the kings of East Englerich, son of Elrich, father of Alvald (Ælfƿeald), and said to be an afterbear of the god Woden. Not tied to the name ‘Adolph’; for that, see: Elloph."
Aldoun,Aldune,♂,Quickened,Ealdhūn,eald,hūn,
Aldred,Aldred,♂,Living,Ealdrǣd,eald,rǣd,
Aldrich,Aldric,♂,Lastname,Ealdrīċ,eald,rīċ,"Kin with the Latin name ‘Alaricus’, which was borrowed from Proto-Germanic."
Aldridge,Aldricg,♂,Lastname,Ealdhryċġ,eald,hryċġ,Sometimes muddled with: Aldrich.
Aldrin,Aldrin,♂,Lastname,-,alor,-,"Not a given name in OE. From the OE stow-name ‘Aloren’, meaning: alder-tree. Borne by the American astronaut and tother man to ever walk on the moon, Edwin ‘Buzz’ Aldrin (born 1930)."
Aldrith,Aldriþ,♀,Quickened,Ealdþrȳþ,eald,þrȳþ,
Aldsey,Aldsey,♂,Quickened,Ealdsiġe,eald,siġe,
Aldsith,Aldsiþ,♂,Quickened,Ealdsīþ,eald,sīþ,
Aldswith,Aldsƿiþ,♀,Quickened,Ealdsƿīþ,eald,sƿīþ,
Aldwald,Aldƿald,♂,Quickened,Ealdƿeald,eald,ƿeald,
Aldway,Aldƿay,♂,Quickened,Ealdƿīġ,eald,ƿīġ,
Aldwel,Aldƿel,♂,Quickened,Ealdƿealh,eald,ƿealh,
Aldwin,Aldƿin,♂,Lastname,Ealdƿine,eald,ƿine,"Also found as the lastname, ‘Alden’."
Aldyard,Aldgeard,♂,Quickened,Ealdġeard,eald,ġeard,
Alfled,Alfled,♀,Living,Ælfflǣd,ælf,flǣd,
Alfred,Alfred,♂,Frozen,Ælfrǣd,ælf,rǣd,‘Alfred’ is a frozen spelling of a name that would most likely be spelled ‘Alvered’ if it came to us through ongoing bearing. Sometimes shortened to ‘Alf’ or ‘Alfie’. See also: Alvered.
Alfrith,Alfriþ,♂,Quickened,Ealdfriþ,eald,friþ,
Alfsey,Alfsey,♂,Quickened,Ælfsiġe,ælf,siġe,
Alfswith,Alfsƿiþ,⚥,Living,Ælfsƿīþ,ælf,sƿīþ,
Alger,Alger,♂,Living,"Ælfgār, Ealdgār","ælf, eald",gār,"Can also be spelled: Algar. Like many names that sweltered with the Norman overthrow, this Old English name was brought back in the 1800s. Not tied to the land of Algeria."
Alkbert,Alkbert,♂,Quickened,Ealhbeorht,ealh,beorht,Can be shortened to: Albert (not tied to the Norman name; see Elbert).
Alkbury,Alkbury,♀,Quickened,Ealhburg,ealh,burg,Can be shortened to: Albury.
Alkmund,Alkmund,♂,Living,Ealhmund,ealh,mūnd,"Borne by a 700s hallow of Derby and Northumberrich, and a 700s hallow of Hexham, Northumberrich."
Alkoun,Alkune,♂,Quickened,Ealhhūn,ealh,hūn,
Alkred,Alkred,♂,Quickened,Ealhrǣd,ealh,rǣd,
Alkrich,Alkric,♂,Quickened,Ealhrīċ,ealh,rīċ,
Alkswith,Alksƿiþ,♀,Quickened,Ealhsƿīþ,ealh,sƿīþ,Borne by the wife of Alvered the Great. Not tied to the Hebrew name ‘Elizabeth’.
Alkward,Alkƿard,♂,Quickened,Ealhƿeard,ealh,ƿeard,Not tied to the Anglo-Norse word ‘awkward’.
Alkwer,Alkƿer,♀,Quickened,Ealhƿaru,ealh,ƿaru,
Alkwin,Alkƿin,♂,Quickened,Ealhƿine,ealh,ƿine,"Borne by the great writer, teacher and hallow of York (735—804), after whom Alcuin College was named. The Latin spelling is ‘Alcuin’, or ‘Alcuinus’. See also: Alwin."
Alman,Alman,♂,Quickened,Ealdmann,eald,mann,Also found as the lastname ‘Oldman’.
Almund,Almund,♂,Quickened,Ealdmūnd,eald,mūnd,Not tied to the word for the almond nut.
Alph,Alf,♂,Living,Ælf,ælf,-,Also found as: Alf. A shortening of names starting with ‘Alf-’.
Alrich,Alric,♂,Quickened,Ælriċ,æl,rīċ,Kin with the Norman name ‘Alaric’.
Alsey,Alsey,♂,Quickened,Ælfsiġe,ælf,siġe,
Alston,Alstan,♂,Lastname,"Ælfstān, Æþelstān, Ealdstān, Ealstān","ælf, æþel, eald, ealh",stān,"Living name from the English Lastname ‘Alston’, which could come from sundry OE forenames, such as ‘Ælfstān’ (elf-stone), ‘Æþelstān’ (atheling-stone), ‘Ealdstān’ (old-stone) or ‘Ealhstān’ (holy-stone)."
Althane,Aldþane,♂,Quickened,Ealdþeġn,eald,þeġn,
Althrith,Alþriþ,♀,Quickened,"Ælfþrȳþ, Ealhþrȳþ","ælf, ealh",þrȳþ,Can be shortened to: Alth (Anglish Spelling: Alþ). Two Old English names that would likely have minged into one another over time.
Alton,Altun,♂,Lastname,-,eald,tūn,"Not a given name in OE. From the OE stow-name ‘Ealdtūn’, meaning: old-town."
Alvald,Alfald,♂,Quickened,Ælfƿeald,ælf,ƿeald,"Borne by one of the Wuffings, the kings of East Englerich in the 700s, son of Elrich, father of Alvald (Ælfƿeald), and said to be an afterbear of the god Woden. Also borne by a 700s King of Sussex, and by 700s and 800s kings of Northumberrich."
Alvar,Alfar,♂,Living,Ælfhere,ælf,here,Can also be spelled: Alver (Anglish Spelling: Alfer). Kin with the Norse name of the same shape.
Alvard,Alfard,♂,Quickened,"Ælfġeard, Ælfheard, Ælfƿeard",ælf,"ġeard, heard, ƿeard",A few Old English names that would likely have minged into one another over time.
Alvat,Alfat,♂,Quickened,Ælfġēat,ælf,ġēat,
Alvebert,Alfebert,♂,Quickened,Alfbeorht,ælf,beorht,"Can also be spelled: Albert (from loss of ⟨v⟩ before a samedsweyend). Not tied to the Norman name ‘Albert’; for that, see: Elbert."
Alvegood,Alfegood,♀,Quickened,Ælfgōd,ælf,gōd,Can also be spelled: Algood (from loss of ⟨v⟩ before a samedsweyend).
Alveleaf,Alfeleaf,♂,Quickened,Ælflēof,ælf,lēof,Can also be spelled: Alleaf (from loss of ⟨v⟩ before a samedsweyend).
Alvelm,Alfelm,♂,Quickened,Ælfhelm,ælf,helm,
Alvemer,Alfemer,♂,Quickened,Ælfmǣr,ælf,mǣr,Can also be spelled: Almer (from loss of ⟨v⟩ before a samedsweyend).
Alvenoth,Alfenoþ,♂,Quickened,Ælfnōþ,ælf,nōþ,Can also be spelled: Alnoth (Anglish Spelling: Alnoþ; from loss of ⟨v⟩ before a samedsweyend).
Alver,Alfer,♀,Quickened,Ælfƿaru,ælf,ƿaru,Also found as ‘Alvara’ in the English lastname.
Alvered,Alfered,♂,Quickened,Ælfrǣd,ælf,rǣd,"Can also be spelled: Alred (from loss of ⟨v⟩ before a samedsweyend).
Spread by ‘Alfred the Great’ (849—889), king of Wessex, who freed the English from the Danish onslaught of England. Under Norman French lordship, the name was spoken in a way that yielded the name ‘Avery’.
The name in Old English was said with the ⟨v⟩ loud; this is backed up by Middle English spellings such as 'Alured' (in which the bookstaff ⟨u⟩ stands for latterday ⟨v⟩). The latterday name ‘Alfred’ is a quickened shape, built on the Old English name and is a spelling speech showing indirect French sway that made ⟨f⟩ stand for the /f/ loud only."
Alverich,Alferic,♂,Lastname,Ælfrīċ,ælf,rīċ,"Can also be spelled: Alrich (Anglish Spelling: Alric; from loss of ⟨v⟩ before a samedsweyend).
Borne by many holymen, such as the great writer and holyman of Eynsham (955—1010), and also by the hallow of Abingdon (d. 1005). Kin with the Norman name ‘Aubrey’."
Alverith,Alferiþ,♂,Quickened,Ælfrīþ,ælf,friþ,Can also be spelled: Alrith (Anglish Spelling: Alriþ; from loss of ⟨v⟩ before a samedsweyend).
Alvey,Alfey,♂,Lastname,"Ælfhēah, Ælfƿīġ",ælf,"hēah, ƿīġ","Two Old English names that minged into one another over time. Sweltered as a living name, but lives on as a lastname. See also: Alvive."
Alvild,Alfild,♀,Quickened,Ælfhild,ælf,hild,
Alvin,Alfin,⚥,Living,"Ælfƿine ♂, Ælfƿynn ♀",ælf,"ƿine, ƿynn","Borne by a widely-known cartoon chipmunk in America in the 1960s. While not known as a woman’s name today, it could be once more. The wifely shade sweltered and became ‘Alvina’ in English, with the Latinate -a ending. Kin with the German name ‘Albwin’, and the Italian name ‘Alboino’, as borne by a 500s king of the Lombards."
Alving,Alfing,⚥,Quickened,Ælfing,ælf,ing,
Alvith,Alfiþ,♀,Quickened,Ælfgȳþ,ælf,gȳþ,
Alvive,Alfife,♀,Quickened,Ælfġifu,ælf,ġifu,Shortened in some Lastnames as ‘Alvey’. See also: Alvey.
Alvolph,Alfulf,♂,Quickened,Ælfƿulf,ælf,ƿulf,Can also be spelled: Alvulph (Anglish Spelling: Alfulf).
Alvoun,Alfune,♂,Quickened,Ælfhūn,ælf,hūn,
Alwin,Alƿin,♂,Lastname,Ealhƿine,ealh,ƿine,"Alwin has been shaped by a minging together of likewise names, such as ‘Aldwin’ (from OE Ealdƿine), ‘Alvin’ (from OE Ælfƿine), and ‘Elwin’ (from OE Æþelƿine). See also: Aldwin, Alvin, Alkwin, Elwin."
Amal,Amal,⚥,Quickened,"Amala ♂, Amalo ♀",amal,-,"A shortening of names starting with ‘Amal-’, but not found as a standalone name in Old English. Kin with the Latinized Germanic name borrowed into English as ‘Amalia’, named for the mainland Germanic folk: The Amalings. Not tied in any way to the Arabic name ‘Amal’. See also: Amalie."
Amalbald,Amalbald,♂,Quickened,Amalbeald,amal,beald,
Amalbert,Amalbert,♂,Quickened,Amalbeorht,amal,beorht,
Amalbury,Amalbury,♀,Unfounded,*Amalburg,amal,burg,Not found in OE. Would be kin with the mainland name ‘Amalburg’.
Amalfrith,Amalfriþ,♂,Quickened,Amalfriþ,amal,friþ,
Amalgar,Amalgar,♂,Quickened,Amalgār,amal,gār,
Amalie,Amaly,♀,Unfounded,*Amalo,amal,-,"Not found in OE. A nickname of names starting with ‘Amal-’, made by likeness to, and kin with the names ‘Amalia’ and ‘Amelia’. Not tied to the names ‘Emily’ nor ‘Amy’."
Amallar,Amallar,♂,Quickened,Amalhere,amal,here,Can also be spelled: Amaller.
Amallard,Amallard,♂,Quickened,Amalheard,amal,heard,
Amalred,Amalred,♂,Quickened,Amalrǣd,amal,rǣd,
Amalrich,Amalric,♂,Quickened,Amalrīċ,amal,rīċ,"Under Norman French lordship, the name was spoken in ways that yielded the names ‘Amory’ and ‘Emery’, which live on to this day. Kin with the Gothic name ‘*Amalareiks’, as borne by a Gothic king in the 500s."
Amalswith,Amalsƿiþ,♀,Quickened,Amalsƿīþ,amal,sƿīþ,
Amalthrith,Amalþriþ,♀,Quickened,Amalþrȳþ,amal,þrȳþ,Can be shortened to: Amalth (Anglish Spelling: Amalþ).
Ambald,Ambald,♂,Quickened,Andbeald,and,beald,
Ambert,Ambert,♂,Quickened,"Anbeorht, Andbeorht","an, and",beorht,Two Old English names that minged into one another over time. Not tied to the Norman name ‘Amber’.
Anand,Anand,♂,Quickened,Anand,an,and,"Not tied to the Hindi name ‘Anand’, which is instead from Sanskrit ‘Ānanda’."
Ancoal,Ancoal,♂,Quickened,Andcōl,and,cōl,
Andar,Andar,♂,Quickened,Andhere,and,here,Can also be spelled: Ander.
Andelm,Andelm,♂,Quickened,Andhelm,and,helm,
Anderbert,Anderbert,♂,Quickened,Anderbeorht,ander,beorht,
Anderbode,Anderbode,♂,Quickened,Anderboda,ander,bod,
Anderson,Andersun,♂,Lastname,*Andersunu,ander,sunu,Not a given name in OE. A lastname for someone fathered by an ‘Ander’. Also found in English from the name ‘Andrew’.
Anding,Anding,♂,Lastname,Anding,and,ing,
Andolph,Andulf,♂,Quickened,Andƿulf,and,ƿulf,Can also be spelled: Andulph (Anglish Spelling: Andulf).
Andoun,Andune,♂,Quickened,Andhūn,and,hūn,
Andy,Andy,⚥,Living,"Anda ♂, Ando ♀",and,-,"As an Anglish name, a shortening of names starting with ‘And-’ or ‘Ander-’. Also found in English from the names ‘Andrew’ and ‘Andrea’."
Anfrith,Anfriþ,♂,Quickened,Andfriþ,and,friþ,
Anlof,Anloff,♂,Quickened,Anlāf,an,lāf,"Kin with the Norse name ‘Olaf’, and further away, the Norman name ‘Oliver’. Made of withersome words: ‘an’ and ’lof’, meaning: ‘forebear-afterbear’."
Anmer,Anmer,♂,Quickened,Andemar,and,mǣr,"Can also be spelled: Ammer, Hammer."
Anrich,Anric,♂,Unfounded,*Ānrīċ,ān,rīċ,"Not found in OE. Would be kin with ‘Eric’, which comes from the Norse name ‘Erik’. Also kin with the Latin name ‘Ericus’, which was borrowed from Proto-Germanic."
Ansedge,Ansecg,♂,Quickened,Andseċġ,and,seċġ,
Anshoe,Anscoe,♂,Quickened,Andṡċoh,and,ṡċoh,
Anyembert,Angembert,♂,Quickened,Anġenbeorht,anġen,beorht,
Anyenlof,Angenloff,♂,Quickened,Anġenlāf,anġen,lāf,
Anyenthew,Angenþeƿ,♂,Quickened,Anġenþēoƿ,anġen,þēoƿ,Borne by a player in the tale of Beewolph (Beowulf).
Anyenthrith,Angenþriþ,♀,Quickened,Anġenþrȳþ,anġen,þrȳþ,Can be shortened to: Ayenth (Anglish Spelling: Agenþ).
Anyenwit,Angenƿit,♂,Quickened,Anġenƿit,anġen,ƿit,"Forebear to the kings of Bernickrich, said to be an afterbear of the god Woden."
Anyenyat,Angenget,♂,Quickened,Anġenġēat,anġen,ġēat,"Borne by one of the forebears of the Iclings, kings of Markrich, also known as ‘Angelþēoƿ’ (see: Englethew), son of Offa of Angel, and said to be an afterbear of the god Woden."
Apple,Appel,♀,Living,-,æpel,-,Not known to be a given name in Old English times. From the everyday word for the ovet.
Ardbert,Ardbert,♂,Quickened,Eardbeorht,eard,beorht,
Ardelm,Ardelm,♂,Quickened,Eardhelm,eard,helm,
Ardith,Ardiþ,♀,Quickened,Eardgȳþ,eard,gȳþ,
Ardley,Ardley,♂,Lastname,-,eard + ƿulf,lēah,"Not a given name in OE. From the OE stow-name ‘Eardƿulfaslēah’, meaning: Ardolph’s lea (field). See also: Ardolph."
Ardnoth,Ardnoþ,♂,Quickened,Eardnōþ,eard,nōþ,
Ardolph,Ardulf,♂,Quickened,Eardƿulf,eard,ƿulf,Can also be spelled: Ardulph (Anglish Spelling: Ardulf). Borne by a King of {{over|Northumbria|Northumberrich} in the late 700s and early 800s.
Ardred,Ardred,♂,Quickened,Eardrǣd,eard,rǣd,
Ardward,Ardƿard,♂,Quickened,Eardƿeard,eard,ƿeard,
Ardwin,Ardƿin,♂,Quickened,Eardƿine,eard,ƿine,
Arwald,Arƿald,♂,Quickened,Arƿeald,Ār,ƿeald,
Armstrong,Armstrong,♂,Lastname,*Earmstrang,earm,strang,"Not a given name in OE. From a lastname that began as a nickname for a man with a strong arm. Borne by the American astronaut and first man to walk on the moon, Neil Armstrong (1930–2012). Had this name been found in OE, it could be shaped now as ‘Ermstrang’."
Ash,Asc,⚥,Living,Æṡċ,æṡċ,-,"Either as a standalone name from the everyday English words for the tree, or for the outcome of fire, or as a shortening of names like Ashley and Ashton, which are named for the ash-tree. Norse folklore holds that the first wereman was made by the gods blowing life into dead body of an Ash tree, along with woman from an Elm."
Ashar,Ascar,♂,Quickened,Æṡċhere,æṡċ,here,Can also be spelled: Asher (Anglish Spelling: Ascer). Not tied to the Hebrew name ‘Asher’. Borne by a player in the tale of Beewolph (Beowulf).
Ashard,Ascard,♂,Quickened,Æṡċheard,æṡċ,heard,Not tied to the word ‘askard’.
Ashbert,Ascbert,♂,Quickened,Æṡċbeorht,æṡċ,beorht,
Ashbury,Ascbury,⚥,Lastname,-,æṡċ,burg,Not a given name in OE. From the OE stow-name ‘Æṡċburg’.
Ashden,Ascden,⚥,Lastname,-,æṡċ,"denu, dūn, tūn","Not a given name in OE. Could be from any of the following OE stow-names: ‘Æṡċdenu’ (meaning: ash-tree dene) ‘Æṡċdūn’ (meaning: ash-tree downs), or ‘Æṡċtūn’ (meaning: ash-tree town)."
Ashey,Ascey,♂,Quickened,Æṡċhēah,æṡċ,hēah,
Ashford,Ascford,♂,Lastname,-,æṡċ,ford,Not a given name in OE. From the OE stow-name ‘Æṡċford’.
Ashfrith,Ascfriþ,♂,Quickened,Æṡċfriþ,æṡċ,friþ,
Ashley,Ascley,⚥,Lastname,-,æṡċ,lēah,"Not a given name in OE. From the OE stow-name ‘Æṡċlēah’. Like many Lastnames, it was once borne mostly for weremen, but it has shifted towards a woman’s name."
Ashlock,Asclock,♂,Quickened,Æṡċlāc,æṡċ,lāc,
Ashman,Ascman,♂,Quickened,Æṡċmann,æṡċ,mann,
Ashmer,Ascmer,♂,Quickened,Æṡċmǣr,æṡċ,mǣr,
Ashmund,Ascmund,♂,Quickened,Æṡċmūnd,æṡċ,mūnd,
Asholph,Asculf,♂,Quickened,Æṡċƿulf,æṡċ,ƿulf,Can also be spelled: Ashulph (Anglish Spelling: Asculf).
Ashred,Ascred,♂,Quickened,Æṡċrǣd,æṡċ,rǣd,
Ashton,Asctun,♂,Lastname,-,æṡċ,tūn,"Not a given name in OE. From the OE stow-name ‘Æṡċtūn’, meaning: ash-tree-town."
Ashwald,Ascƿald,♂,Quickened,Æṡċƿeald,æṡċ,ƿeald,
Ashway,Ascƿay,♂,Quickened,Æṡċƿīġ,æṡċ,ƿīġ,
Ashwin,Ascƿin,⚥,Lastname,"Æṡċƿine ♂, Æṡċƿynn ♀",æṡċ,"ƿine, ƿynn","Not tied to the Hindi name ‘Ashwin’, which is instead from Sanskrit ‘Aśvin’."
Ashwood,Ascƿood,♂,Lastname,-,æṡċ,ƿudu,Not a given name in OE. From the OE stow-name ‘Æṡċƿudu’.
Aspen,Aspen,♂,Living,-,-,-,"Not a given name in OE. From the name of the wort, or from the name of the ski town in Colorado."
Aston,Astun,♂,Lastname,-,ēast,tūn,"Not a given name in OE. From the OE stow-name ‘Ēasttūn’, meaning: east-town."
Atheling,Aþeling,♂,Quickened,-,æþel,ing,Not a given name in OE. From the OE word for a wereman of high bird. Akin to the name ‘Prince’.
Athelingen,Aþelingen,♀,Quickened,-,æþel,ing + en,Not a given name in OE. From the OE word for a woman of high bird. Akin to the name ‘Princess’.
Athelstan,Aþelstan,♂,Frozen,Æþelstān,æþel,stān,See: Elstan.
Atholph,Aþulf,♂,Quickened,Āþƿulf,āþ,ƿulf,Can also be spelled: Athulph (Anglish Spelling: Aþulf).
Atley,Atley,♂,Lastname,-,æt,lēah,Not a given name in OE. From the OE stow-name ‘Ætlēah’.
Atwater,Atƿater,♂,Lastname,-,æt,ƿæter,Not a given name in OE. From the OE stow-name ‘Ætƿæter’.
Atwell,Atƿell,♂,Lastname,-,æt,ƿille,Not a given name in OE. From the OE stow-name ‘Ætƿille’.
Atwood,Atƿood,♂,Lastname,-,æt,ƿudu,Not a given name in OE. From the OE stow-name ‘Ætƿudu’.
Atworth,Atƿorþ,♂,Lastname,-,æt,ƿorþ,Not a given name in OE. From the OE stow-name ‘Ætƿorþ’.
Awald,Aƿald,♂,Unfounded,*Āƿaƿeald,āƿa,ƿeald,"Not found in OE. Would be kin with ‘Ewald’, which comes from the mainland name ‘Ewawald’."
Baddard,Baddard,♂,Quickened,Beaduheard,beadu,heard,
Baddelm,Baddelm,♂,Quickened,Beaduhelm,beadu,helm,See also: Helmbed.
Baddils,Baddils,♂,Quickened,Beaduġīls,beadu,ġīls,
Baddoun,Baddune,♂,Quickened,Beaduhūn,beadu,hūn,
Badfrith,Badfriþ,♂,Quickened,Beadufriþ,beadu,friþ,
Badhild,Badhild,♀,Living,Beaduhild,beadu,hild,Can also be spelled: Badild. Kin with the German name ‘Bathilda’.
Badith,Badiþ,♀,Quickened,Beadugȳþ,beadu,gȳþ,
Badnoth,Badnoþ,♂,Quickened,Beadunōþ,beadu,nōþ,
Badolph,Badulf,♂,Quickened,Beaduƿulf,beadu,ƿulf,Can also be spelled: Badulph (Anglish Spelling: Badulf).
Badred,Badred,♂,Quickened,Beadurǣd,beadu,rǣd,
Badrich,Badric,♂,Quickened,Beadurīċ,beadu,rīċ,"Not tied to the name ‘Beatrice’, which is instead from Latin ‘Beatrix’."
Badswith,Badsƿiþ,♀,Quickened,Beadusƿīþ,beadu,sƿīþ,
Badthane,Badþane,♂,Quickened,Beaduþeġn,beadu,þeġn,
Badwald,Badƿald,♂,Quickened,Beaduƿeald,beadu,ƿeald,
Badway,Badƿay,♂,Quickened,Beaduƿīġ,beadu,ƿīġ,
Badwin,Badƿin,⚥,Quickened,"Beaduƿine ♂, Beaduƿynn ♀",beadu,"ƿine, ƿynn",Two Old English names that would likely have minged into one another over time.
Bald,Bald,♂,Lastname,Bealdā,beald,-,
Baldar,Baldar,♂,Quickened,Bealdhere,beald,here,Can also be spelled: Balder.
Baldard,Baldard,♂,Quickened,Bealdheard,beald,heard,
Baldath,Baldaþ,♂,Quickened,Bealdhǣþ,beald,hǣþ,
Balday,Balday,♂,Quickened,Bealddæġ,beald,dæġ,"The name of an English god, known in Old Norse as ‘Baldr’, meaning ‘the bald one’. See also: Daybald."
Baldelm,Baldelm,♂,Quickened,Bealdhelm,beald,helm,See also: Helmbald.
Baldild,Baldild,♀,Quickened,Bealdhild,beald,hild,Borne by a 600s hallow of Chelles. See also: Hilbald.
Baldith,Baldiþ,♀,Quickened,Bealdgȳþ,beald,gȳþ,Shortened in some Lastnames as ‘Baldey’.
Baldive,Baldife,♀,Quickened,Bealdġifu,beald,ġifu,Shortened in some Lastnames as ‘Baldey’.
Baldolph,Baldulf,♂,Quickened,Bealdƿulf,beald,ƿulf,Can also be spelled: Baldulph (Anglish Spelling: Baldulf).
Baldoun,Baldune,♂,Quickened,Bealdhūn,beald,hūn,
Baldred,Baldred,♂,Quickened,Bealdrǣd,beald,rǣd,"Borne by the last King of Kent, in the 800s, before being thrown out by King Edgebert of Wessex and his son Elloph."
Baldrich,Baldric,♂,Quickened,Bealdrīċ,beald,rīċ,"Kin with the Norman name ‘Baldric’, spelt alike in Anglish Spelling. The Old English name looks to have sweltered."
Baldrith,Baldriþ,♀,Quickened,Bealdþrȳþ,beald,þrȳþ,See also: Thrithbald.
Baldway,Baldƿay,♂,Quickened,Bealdƿīġ,beald,ƿīġ,
Baldwin,Baldƿin,♂,Living,Bealdƿine,beald,ƿine,"The Old English name may have sweltered, but it would have ended up like the name ‘Baldwin’, which was brought by the Normans. See also: Wimbald."
Balfrith,Balfriþ,⚥,Quickened,Bealdfriþ,beald,friþ,See also: Frithbald.
Balgar,Balgar,♂,Quickened,Bealdgār,beald,gār,
Balmer,Balder,♂,Quickened,Bealdmǣr,beald,mǣr,
Bancroft,Bancroft,♂,Lastname,-,bēan,croft,"Not a given name in OE. From the OE stow-name ‘Bēancroft’. Borne by American historian and ethnologist, Hubert Howe Bancroft (1832–1918)."
Bannard,Bannard,♂,Quickened,Bēanheard,bēan,heard,
Banstan,Banstan,♂,Quickened,Bēanstān,bēan,stān,Borne by a player in the tale of Beewolph (Beowulf).
Barden,Barden,♂,Lastname,-,bær,denu,Not a given name in OE. From the OE stow-name ‘Bærdenu’.
Barney,Barney,♂,Lastname,-,"bær, bera",īeġ,"As an Anglish name, from the town in Norfolk. The lore of the name is not known, coming either from ‘Berasīeġ’ (meaning: Bear's island), ‘Bærenīeġ’ (meaning: barley-island) or ‘Bærærnīeġ’ (meaning: barn-island). Borne by the purple dinosaur in the show ‘Barney & Friends’ by Sheryl Leach (1952 onwards)."
Barrington,Barringtun,♂,Lastname,-,beorn,ing + tūn,"Not a given name in OE. From the OE stow-name ‘Beorningastūn’, meaning: the town of the folk of Beorna."
Barton,Bartun,♂,Lastname,-,bær,tūn,Not a given name in OE. From the OE stow-name ‘Bærtūn’.
Bate,Bate,♂,Lastname,Bāta,bāt,-,Also found as: Bates. Not an Anglish name when a shortening of ‘Bartholomew’.
