English,Anglish,Kind,Forebear,Language,Kin,Background
Mark,Mark,♂,Marco,Italian,Marcus,
Marky,Marky,♂,Marquis,French,Marquess,
Marry,Marry,♂,Mario,Italian,Mario,"Rhymes with ‘are-ee’, not ‘air-ee’."
Micowye,Micoƿye,♂,Mikołaj,Polish,Nicholas,
Mishell,Miscell,⚥,"Michel ♂, Michelle ♀",French,Michael,
Monnick,Monnick,♀,Monica,Italian,Monika,
Natally,Natally,♀,Nātālia,Latin,Natalie,
New,Neƿ,♂,Noue,French,Noah,
Newson,Neƿsun,♂,Neuson,French,Nelson,
Noey,Noey,♂,Nōē,Latin,Noah,
Nowell,Noƿell,⚥,"Noël ♂, Noëlle ♀",French,Natalie,
Olebby,Olebby,♀,Olèbbia,Italian,Olivia,
Olive,Olif,♀,Olīva,Latin,Olivia,
Onofry,Onofry,♂,Onofrio,Italian,Onuphrius,
Onry,Onry,♂,Henri,French,Henry,Its inborn kin would be ‘Hanrich’.
Orats,Orats,♂,Orazzo,Italian,Horatio,
Oray,Oray,♂,Ourais,French,Horace,
Osheen,Osceen,♂,Oisín,French,Ossian,
Ott,Ott,♂,Août,French,August,"Also found as: Aust, from a Middle English borrowing."
Otten,Otten,♂,Aoûtén,French,Augustine,"Also found as: Austin, from a Middle English borrowing."
Pabble,Pabbel,♂,Pablo,Spanish,Paul,
Pall,Pall,♂,Paulus,Latin,Paul,
Parrich,Parric,♂,Pádraig,Irish,Patrick,
Patrick,Patrick,♂,Patricius,Latin,Patrick,"Can also be spelled: Patritch (Patric), from later pronunciation."
Pavole,Pafole,♂,Pavolo,Italian,Paul,
Pawill,Paƿill,♂,Pouil,French,Paul,
Pear,Pear,♂,Pierre,French,Peter,
Pedder,Pedder,♂,Pedro,Spanish,Peter,
Peppene,Peppene,♂,Peppino,Italian,Peppino,
Persick,Persick,♀,Persica,Latin,Peach,"Can also be spelled: Pessick (from Vulgar Latin ‘Pessica’), Pesk (from Medieval Latin ‘Pesca’)."
Pesh,Pesc,♀,Pêche,French,Peach,"‘Peach’ is the result of an Old English borrowing, while this ‘Pesh’ stands as a modern one."
Petter,Petter,♂,Petrus,Latin,Peter,"‘Peter’ is the result of an Old English borrowing, while this ‘Petter’ stands as a modern one."
Pole,Pole,♂,Polo,Italian,Paul,
Pewt,Peƿt,♂,Peautre,French,Pewter,
Remmy,Remmy,♂,Remi,French,Remi,
Risher,Riscer,♂,Richard,French,Richard,Its inborn kin is ‘Richard’.
Roashell,Roascell,♀,Rochelle,French,Rochelle,
Sacker,Sacker,♀,さくら (Sakura),Japanese,Sakura,
Samant,Samant,♀,Samāntha,Latin,Samantha,
Samuwell,Samuƿell,♂,Samūēl,Latin,Samuel,"Can also be spelled: Samwell (Samƿell), as a shortening."
Sash,Sasc,♀,Са́ша (Sáša),Russian,Sasha,
Saul,Saul,♂,Saūlus,Latin,Saul,
Sawill,Saƿill,♂,Souil,French,Saul,
Seasar,Seasar,♂,César,Spanish,Kaiser,
Sedge,Secg,⚥,Sage,French,Sage,
Sharing,Scaring,♀,Chèrine,French,Catherine,
Sharl,Scarl,♂,Charles,French,Carl,Its inborn kin is ‘Churl’.
Sharlimany,Scarlimany,♂,Charlemagne,French,Charlemain,Not known as a standalone name. Borne by Charles the Great of the late 700s.
Shawn,Scaƿn,♂,Seán,Irish,John,"Also found as: Shane (Scane), from a Northern Irish pronunciation."
Shevrel,Shevrel,♂,Chevreau,French,Gabriel,
Shippiony,Scippiony,♂,Scipione,Italian,Scipio,
Silvey,Silfey,♀,Silvia,Latin,Sylvia,
Sonnick,Sonnick,♂,Sonicus,Latin,Sonic,"Can also be spelled: Sonnish (Sonnisc), replacing the ending suffix with a native counterpart."
Sony,Sony,♀,Со́ня (Sónja),Russian,Sonia,
Staniswaph,Stanisƿaf,♂,Stanisław,Polish,Stanislav,
Stillian,Stillian,♂,Στυλιανός (Stylianós),Greek,Stylianos,
Switlan,Sƿitlan,♀,Светла́на (Svetlána),Russian,Svetlana,
Taddiew,Taddieƿ,♂,Thaddaeus,Latin,Thaddeus,
Teague,Teag,♂,Tadhg,Irish,Taig,
Timotew,Timoteƿ,♂,Tīmotheus,Latin,Timothy,
Tomiswaph,Tomisƿaf,♂,Tomisław,Polish,Tomislav,
Urse,Urse,♀,Ursa,Latin,Ursa,
Ursle,Ursel,♀,Ursula,Latin,Sonia,Can also be spelled: Ursull.
Vansaw,Fansaƿ,♂,Vincent,French,Vincent,
Vilhelm,Filhelm,♂,Wilhelm,German,William,Its inborn kin would be ‘Willem’.
Volfgank,Folfgank,♂,Wolfgang,German,Wolfgang,Its inborn kin would be ‘Woolgang’.
Voicheck,Foiceck,♂,Wojciech,Polish,Voitecus,
Voyack,Foyack,♂,Wojak,Polish,Wojak,
Wanness,Ƿanness,♀,Vanessa,Latin,Vanessa,"Can also be spelled: Vanness (Fanness), from later pronunciation."
Weronick,Ƿeronick,♀,Veronīca,Latin,Veronica,"Can also be spelled: Veronick (Feronick), from later pronunciation."
Wictory,Ƿictory,♀,Victōria,Latin,Victoria,"Can also be spelled: Victory (Fictory), from later pronunciation."
Winkenty,Ƿinkenty,♂,Vincentius,Latin,Vincent,"Can also be spelled: Vinchenzy (Fincensy), from later pronunciation."
Wiwian,Ƿiƿian,♀,Vīviāna,Latin,Vivian,"Can also be spelled: Vivian (Fifian), from later pronunciation."
Yacobe,Geacobe,♂,Iācōbus,Latin,Jacob,"Can also be spelled: Jacobe; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yacome,Geacome,♂,Iācōmus,Latin,James,"Can also be spelled: Jacome; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yessick,Gessick,♀,Iessica,Latin,Jessica,"Can also be spelled: Jessick; in Anglish , this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yessy,Gessy,⚥,Iessae,Latin,Jesse,"Can also be spelled: Jessy; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yohawn,Geohaƿn,♂,Iōhannēs,Latin,John,"Can also be spelled: Johawn (Johaƿn); in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
York,Geork,♂,Jörg,German,George,"Can also be spelled: Jork; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yosep,Geosep,♂,Iōsēphus,Latin,Joseph,"Can also be spelled: Yoseph (Geosef), Josep, Joseph (Josef)."
Yulian,Geulian,♂,Iūliānus,Latin,Julian,"Can also be spelled: Julian; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yuly,Geuly,⚥,"Iūlius ♂, Iūlia ♀",Latin,Julius,"Can also be spelled: July; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yuny,Geuny,⚥,"Iūnius ♂, Iūnia ♀",Latin,Junius,"Can also be spelled: June; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Yustene,Geustene,♂,Iūstīnus,Latin,Justin,"Can also be spelled: Justin; in Anglish, this initial ⟨j⟩ would be pronounced like a ⟨y⟩."
Zew,Seƿ,♀,Zoue,French,Zoë,
Zoey,Soey,♀,Zōē,Latin,Zoë,
